"用户ID","特征","清洁效率","耗材","对比","时间"
"006","56㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:48㎡；沿边清扫轻微漏扫","滤网寿命:剩余19天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议升级吸力至2630Pa","2025-05"
"007","66㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:53㎡；沿边清扫偶发漏扫","滤网寿命:剩余26天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于84%小型用户","2025-06"
"008","76㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:58㎡；沿边清扫轻微漏扫","滤网寿命:剩余33天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周2次","2025-07"
"009","86㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:63㎡；沿边清扫偶发漏扫","滤网寿命:剩余40天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类43%","2025-08"
"001","69㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:59㎡；沿边清扫无死角","滤网寿命:剩余38天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类39%","2025-09"
"002","79㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:64㎡；沿边清扫稳定","滤网寿命:剩余45天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；地毯增压使用:8次/月","2025-10"
"003","89㎡；平层；2猫；复合地板","覆盖率:85%；日均清扫:27㎡；沿边清扫无死角","滤网寿命:剩余52天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2960Pa","2025-11"
"004","99㎡；合租；独居；短毛地毯","覆盖率:91%；日均清扫:32㎡；沿边清扫稳定","滤网寿命:剩余59天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；清洁效率优于66%小型用户","2025-12"
"005","109㎡；公寓；合租；木地板","覆盖率:82%；日均清扫:37㎡；沿边清扫无死角","滤网寿命:剩余66天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周5次","2025-02"
"006","58㎡；两居；1狗；复合地板","覆盖率:88%；日均清扫:42㎡；沿边清扫稳定","滤网寿命:剩余73天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类36%","2025-03"
"007","68㎡；复式；情侣；短毛地毯","覆盖率:94%；日均清扫:47㎡；沿边清扫无死角","滤网寿命:剩余80天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:18次/月","2025-04"
"008","78㎡；小户型；1猫；木地板","覆盖率:85%；日均清扫:52㎡；沿边清扫稳定","滤网寿命:剩余87天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；建议升级吸力至1660Pa","2025-05"
"009","88㎡；公寓；2狗；复合地板","覆盖率:91%；日均清扫:57㎡；沿边清扫无死角","滤网寿命:剩余94天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；清洁效率优于86%小型用户","2025-06"
"001","71㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:53㎡；沿边清扫轻微漏扫","滤网寿命:剩余92天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；清洁效率优于81%小型用户","2025-07"
"002","81㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:58㎡；沿边清扫偶发漏扫","滤网寿命:剩余99天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；建议增加分区清扫频次至每周3次","2025-08"
"003","91㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:63㎡；沿边清扫轻微漏扫","滤网寿命:剩余106天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类29%","2025-09"
"004","101㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:26㎡；沿边清扫偶发漏扫","滤网寿命:剩余18天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；地毯增压使用:21次/月","2025-10"
"005","111㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:31㎡；沿边清扫轻微漏扫","滤网寿命:剩余25天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至1990Pa","2025-11"
"006","60㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:36㎡；沿边清扫偶发漏扫","滤网寿命:剩余32天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；清洁效率优于68%小型用户","2025-12"
"007","70㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:41㎡；沿边清扫轻微漏扫","滤网寿命:剩余39天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周3次","2025-02"
"008","80㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:46㎡；沿边清扫偶发漏扫","滤网寿命:剩余46天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类26%","2025-03"
"009","90㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:51㎡；沿边清扫轻微漏扫","滤网寿命:剩余53天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；地毯增压使用:11次/月","2025-04"
"001","73㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:47㎡；沿边清扫稳定","滤网寿命:剩余51天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；地毯增压使用:24次/月","2025-05"
"002","83㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:52㎡；沿边清扫无死角","滤网寿命:剩余58天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；建议升级吸力至2320Pa","2025-06"
"003","93㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:57㎡；沿边清扫稳定","滤网寿命:剩余65天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；清洁效率优于83%小型用户","2025-07"
"004","103㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:62㎡；沿边清扫无死角","滤网寿命:剩余72天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；建议增加分区清扫频次至每周6次","2025-08"
"005","113㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:25㎡；沿边清扫稳定","滤网寿命:剩余79天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类19%","2025-09"
"006","62㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:30㎡；沿边清扫无死角","滤网寿命:剩余86天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；地毯增压使用:14次/月","2025-10"
"007","72㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:35㎡；沿边清扫稳定","滤网寿命:剩余93天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2820Pa","2025-11"
"008","82㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:40㎡；沿边清扫无死角","滤网寿命:剩余100天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；清洁效率优于70%小型用户","2025-12"
"009","92㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:45㎡；沿边清扫稳定","滤网寿命:剩余107天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周6次","2025-02"
"001","75㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:41㎡；沿边清扫偶发漏扫","滤网寿命:剩余105天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周4次","2025-03"
"002","85㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:46㎡；沿边清扫轻微漏扫","滤网寿命:剩余112天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；拖地功能使用率低于同类40%","2025-04"
"003","95㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:51㎡；沿边清扫偶发漏扫","滤网寿命:剩余24天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；地毯增压使用:17次/月","2025-05"
"004","105㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:56㎡；沿边清扫轻微漏扫","滤网寿命:剩余31天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；建议升级吸力至3150Pa","2025-06"
"005","115㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:61㎡；沿边清扫偶发漏扫","滤网寿命:剩余38天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；清洁效率优于85%小型用户","2025-07"
"006","64㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:24㎡；沿边清扫轻微漏扫","滤网寿命:剩余45天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议增加分区清扫频次至每周4次","2025-08"
"007","74㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:29㎡；沿边清扫偶发漏扫","滤网寿命:剩余52天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类37%","2025-09"
"008","84㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:34㎡；沿边清扫轻微漏扫","滤网寿命:剩余59天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；地毯增压使用:7次/月","2025-10"
"009","94㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:39㎡；沿边清扫偶发漏扫","滤网寿命:剩余66天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；建议升级吸力至1850Pa","2025-11"
"001","77㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:35㎡；沿边清扫无死角","滤网寿命:剩余64天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；建议升级吸力至1680Pa","2025-12"
"002","87㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:40㎡；沿边清扫稳定","滤网寿命:剩余71天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；清洁效率优于67%小型用户","2025-02"
"003","97㎡；平层；2猫；复合地板","覆盖率:85%；日均清扫:45㎡；沿边清扫无死角","滤网寿命:剩余78天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周2次","2025-03"
"004","107㎡；合租；独居；短毛地毯","覆盖率:91%；日均清扫:50㎡；沿边清扫稳定","滤网寿命:剩余85天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；拖地功能使用率低于同类30%","2025-04"
"005","56㎡；公寓；合租；木地板","覆盖率:82%；日均清扫:55㎡；沿边清扫无死角","滤网寿命:剩余92天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；地毯增压使用:10次/月","2025-05"
"006","66㎡；两居；1狗；复合地板","覆盖率:88%；日均清扫:60㎡；沿边清扫稳定","滤网寿命:剩余99天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；建议升级吸力至2180Pa","2025-06"
"007","76㎡；复式；情侣；短毛地毯","覆盖率:94%；日均清扫:65㎡；沿边清扫无死角","滤网寿命:剩余106天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；清洁效率优于87%小型用户","2025-07"
"008","86㎡；小户型；1猫；木地板","覆盖率:85%；日均清扫:28㎡；沿边清扫稳定","滤网寿命:剩余18天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；建议增加分区清扫频次至每周2次","2025-08"
"009","96㎡；公寓；2狗；复合地板","覆盖率:91%；日均清扫:33㎡；沿边清扫无死角","滤网寿命:剩余25天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类27%","2025-09"
"001","79㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:29㎡；沿边清扫轻微漏扫","滤网寿命:剩余23天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类23%","2025-10"
"002","89㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:34㎡；沿边清扫偶发漏扫","滤网寿命:剩余30天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；地毯增压使用:13次/月","2025-11"
"003","99㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:39㎡；沿边清扫轻微漏扫","滤网寿命:剩余37天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议升级吸力至2510Pa","2025-12"
"004","109㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:44㎡；沿边清扫偶发漏扫","滤网寿命:剩余44天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；清洁效率优于69%小型用户","2025-02"
"005","58㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:49㎡；沿边清扫轻微漏扫","滤网寿命:剩余51天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周5次","2025-03"
"006","68㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:54㎡；沿边清扫偶发漏扫","滤网寿命:剩余58天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；拖地功能使用率低于同类20%","2025-04"
"007","78㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:59㎡；沿边清扫轻微漏扫","滤网寿命:剩余65天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；地毯增压使用:23次/月","2025-05"
"008","88㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:64㎡；沿边清扫偶发漏扫","滤网寿命:剩余72天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议升级吸力至3010Pa","2025-06"
"009","98㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:27㎡；沿边清扫轻微漏扫","滤网寿命:剩余79天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；清洁效率优于89%小型用户","2025-07"
"001","81㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:65㎡；沿边清扫稳定","滤网寿命:剩余77天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；清洁效率优于84%小型用户","2025-08"
"002","91㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:28㎡；沿边清扫无死角","滤网寿命:剩余84天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周3次","2025-09"
"003","101㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:33㎡；沿边清扫稳定","滤网寿命:剩余91天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类41%","2025-10"
"004","111㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:38㎡；沿边清扫无死角","滤网寿命:剩余98天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；地毯增压使用:6次/月","2025-11"
"005","60㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:43㎡；沿边清扫稳定","滤网寿命:剩余105天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议升级吸力至1540Pa","2025-12"
"006","70㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:48㎡；沿边清扫无死角","滤网寿命:剩余112天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；清洁效率优于71%小型用户","2025-02"
"007","80㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:53㎡；沿边清扫稳定","滤网寿命:剩余24天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周3次","2025-03"
"008","90㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:58㎡；沿边清扫无死角","滤网寿命:剩余31天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；拖地功能使用率低于同类38%","2025-04"
"009","100㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:63㎡；沿边清扫稳定","滤网寿命:剩余38天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；地毯增压使用:16次/月","2025-05"
"001","83㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:59㎡；沿边清扫偶发漏扫","滤网寿命:剩余36天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:9次/月","2025-06"
"002","93㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:64㎡；沿边清扫轻微漏扫","滤网寿命:剩余43天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；建议升级吸力至1870Pa","2025-07"
"003","103㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:27㎡；沿边清扫偶发漏扫","滤网寿命:剩余50天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；清洁效率优于86%小型用户","2025-08"
"004","113㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:32㎡；沿边清扫轻微漏扫","滤网寿命:剩余57天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周6次","2025-09"
"005","62㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:37㎡；沿边清扫偶发漏扫","滤网寿命:剩余64天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类31%","2025-10"
"006","72㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:42㎡；沿边清扫轻微漏扫","滤网寿命:剩余71天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；地毯增压使用:19次/月","2025-11"
"007","82㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:47㎡；沿边清扫偶发漏扫","滤网寿命:剩余78天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议升级吸力至2370Pa","2025-12"
"008","92㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:52㎡；沿边清扫轻微漏扫","滤网寿命:剩余85天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；清洁效率优于73%小型用户","2025-02"
"009","102㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:57㎡；沿边清扫偶发漏扫","滤网寿命:剩余92天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周6次","2025-03"
"001","85㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:53㎡；沿边清扫无死角","滤网寿命:剩余90天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周4次","2025-04"
"002","95㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:58㎡；沿边清扫稳定","滤网寿命:剩余97天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类24%","2025-05"
"003","105㎡；平层；2猫；复合地板","覆盖率:85%；日均清扫:63㎡；沿边清扫无死角","滤网寿命:剩余104天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:22次/月","2025-06"
"004","115㎡；合租；独居；短毛地毯","覆盖率:91%；日均清扫:26㎡；沿边清扫稳定","滤网寿命:剩余111天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；建议升级吸力至2700Pa","2025-07"
"005","64㎡；公寓；合租；木地板","覆盖率:82%；日均清扫:31㎡；沿边清扫无死角","滤网寿命:剩余23天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于88%小型用户","2025-08"
"006","74㎡；两居；1狗；复合地板","覆盖率:88%；日均清扫:36㎡；沿边清扫稳定","滤网寿命:剩余30天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周4次","2025-09"
"007","84㎡；复式；情侣；短毛地毯","覆盖率:94%；日均清扫:41㎡；沿边清扫无死角","滤网寿命:剩余37天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类21%","2025-10"
"008","94㎡；小户型；1猫；木地板","覆盖率:85%；日均清扫:46㎡；沿边清扫稳定","滤网寿命:剩余44天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；地毯增压使用:12次/月","2025-11"
"009","104㎡；公寓；2狗；复合地板","覆盖率:91%；日均清扫:51㎡；沿边清扫无死角","滤网寿命:剩余51天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；建议升级吸力至1400Pa","2025-12"
"001","87㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:47㎡；沿边清扫轻微漏扫","滤网寿命:剩余49天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至3030Pa","2025-02"
"002","97㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:52㎡；沿边清扫偶发漏扫","滤网寿命:剩余56天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；清洁效率优于70%小型用户","2025-03"
"003","107㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:57㎡；沿边清扫轻微漏扫","滤网寿命:剩余63天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周2次","2025-04"
"004","56㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:62㎡；沿边清扫偶发漏扫","滤网寿命:剩余70天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类42%","2025-05"
"005","66㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:25㎡；沿边清扫轻微漏扫","滤网寿命:剩余77天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:15次/月","2025-06"
"006","76㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:30㎡；沿边清扫偶发漏扫","滤网寿命:剩余84天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议升级吸力至1730Pa","2025-07"
"007","86㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:35㎡；沿边清扫轻微漏扫","滤网寿命:剩余91天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于90%小型用户","2025-08"
"008","96㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:40㎡；沿边清扫偶发漏扫","滤网寿命:剩余98天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周2次","2025-09"
"009","106㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:45㎡；沿边清扫轻微漏扫","滤网寿命:剩余105天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类39%","2025-10"
"001","89㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:41㎡；沿边清扫稳定","滤网寿命:剩余103天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类35%","2025-11"
"002","99㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:46㎡；沿边清扫无死角","滤网寿命:剩余110天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；地毯增压使用:18次/月","2025-12"
"003","109㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:51㎡；沿边清扫稳定","滤网寿命:剩余22天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2060Pa","2025-02"
